country,year,co2_per_gdp
Afghanistan,2023,2.0674075365179182e-10
Africa,2023,5.3328736923273585e-08
Africa (GCP),2023,5.332832344616035e-08
Albania,2023,1.422133519544975e-10
Algeria,2023,2.989711558972183e-10
Andorra,2023,1.5937663273842475e-11
Angola,2023,1.3123771631647602e-10
Anguilla,2023,5.450380129026318e-12
Antarctica,2023,0.0
Antigua and Barbuda,2023,2.4244794367048104e-11
Argentina,2023,2.2903582213202198e-10
Armenia,2023,1.9153242334333467e-10
Aruba,2023,3.2589514288729775e-11
Asia,2023,8.49515830689678e-07
Asia (GCP),2023,7.42280391016483e-07
Asia (excl. China and India),2023,2.8700551541301227e-07
Australia,2023,2.8489609391949206e-10
Austria,2023,1.4687998660789115e-10
Azerbaijan,2023,2.5053807309894767e-10
Bahamas,2023,9.416001533248914e-11
Bahrain,2023,6.215271228075299e-10
Bangladesh,2023,1.3217713006051347e-10
Barbados,2023,3.4976465392773404e-10
Belarus,2023,3.213846236756624e-10
Belgium,2023,1.7025051348221426e-10
Belize,2023,2.5109337421997107e-11
Benin,2023,1.67976540843282e-10
Bermuda,2023,1.965895729297079e-11
Bhutan,2023,6.438966317946264e-11
Bolivia,2023,2.9884100191407917e-10
Bonaire Sint Eustatius and Saba,2023,4.322715274745011e-12
Bosnia and Herzegovina,2023,4.2870977571966517e-10
Botswana,2023,1.7086591851419758e-10
Brazil,2023,1.5262220058009578e-10
British Virgin Islands,2023,6.953933268068061e-12
Brunei,2023,4.4242051116303285e-10
Bulgaria,2023,2.6081334227029246e-10
Burkina Faso,2023,1.6578045950989505e-10
Burundi,2023,7.736668444917751e-11
Cambodia,2023,3.0977977920626136e-10
Cameroon,2023,1.2016517291912907e-10
Canada,2023,3.118721245647085e-10
Cape Verde,2023,1.2584816109142722e-10
Central African Republic,2023,7.489226089963949e-11
Central America (GCP),2023,6.750765650155045e-09
Chad,2023,1.2766392239359268e-10
Chile,2023,1.7238775817041903e-10
China,2023,4.4138898676453966e-10
Christmas Island,2023,0.0
Colombia,2023,1.4169461630140803e-10
Comoros,2023,2.669318854320072e-10
Congo,2023,3.2408448391833366e-10
Cook Islands,2023,2.743984478751181e-12
Costa Rica,2023,1.0304197354460697e-10
Cote d'Ivoire,2023,1.086340885142255e-10
Croatia,2023,1.7132580759574045e-10
Cuba,2023,2.744579297584092e-10
Curacao,2023,7.604220000703615e-11
Cyprus,2023,2.0942922053040644e-10
Czechia,2023,2.4965679694352954e-10
Democratic Republic of Congo,2023,5.055030013414553e-11
Denmark,2023,9.105664348740809e-11
Djibouti,2023,1.4518440400648925e-10
Dominica,2023,2.4144643275960366e-10
Dominican Republic,2023,1.674840599597424e-10
East Timor,2023,2.375613959685954e-11
Ecuador,2023,2.466621517424083e-10
Egypt,2023,1.8419676022678848e-10
El Salvador,2023,1.388538929837877e-10
Equatorial Guinea,2023,3.0413969552611037e-10
