country,co2,rank
World,1812356.286,1
High-income countries,1139836.224,2
OECD (GCP),979918.557,3
Non-OECD (GCP),782870.845,4
Asia,601626.877,5
Europe,548198.102,6
Europe (GCP),543796.791,7
Asia (GCP),523895.55,8
Upper-middle-income countries,504847.386,9
North America,496436.927,10
North America (GCP),488467.952,11
United States,431852.723,12
European Union (28),378228.177,13
European Union (27),298450.476,14
China,272531.538,15
Asia (excl. China and India),266225.323,16
Europe (excl. EU-27),249747.627,17
Europe (excl. EU-28),169969.916,18
Russia,121266.528,19
Lower-middle-income countries,112150.773,20
Germany,94582.293,21
United Kingdom,79777.71,22
Middle East (GCP),77454.605,23
Japan,68764.528,24
North America (excl. USA),64584.216,25
India,62870.022,26
Africa,52596.171,27
Africa (GCP),52595.756,28
South America,46348.123999999996,29
South America (GCP),46347.78,30
France,39685.162,31
Canada,35156.346,32
Ukraine,31079.175,33
International shipping,29067.605,34
Poland,28784.851,35
Italy,25705.292,36
South Africa,22255.16,37
Oceania,22155.228,38
Oceania (GCP),21954.048,39
Mexico,21590.755,40
Iran,21123.716,41
South Korea,20107.32,42
Australia,19664.306,43
Saudi Arabia,18315.963,44
Brazil,17726.99,45
Indonesia,16462.347,46
International aviation,15926.277,47
Spain,15504.283,48
Kazakhstan,14457.677,49
Belgium,12817.953,50
Czechia,12257.922,51
Turkey,12220.474,52
Netherlands,12141.053,53
Low-income countries,10504.901,54
Taiwan,9880.295,55
Argentina,9012.657,56
Romania,8791.782,57
Thailand,8040.215,58
Central America (GCP),7798.844,59
Venezuela,7708.912,60
Egypt,7290.294,61
Malaysia,6771.2699999999995,62
Uzbekistan,6617.523,63
Pakistan,5713.489,64
Austria,5693.512,65
United Arab Emirates,5662.051,66
North Korea,5428.408,67
Algeria,5263.688,68
Vietnam,5259.26,69
Hungary,5154.807,70
Belarus,5126.279,71
Sweden,5099.764,72
Iraq,4957.204,73
Nigeria,4632.5380000000005,74
Greece,4247.083,75
Denmark,4168.465,76
Slovakia,3999.043,77
Bulgaria,3961.463,78
Philippines,3813.84,79
Kuwait,3738.978,80
Colombia,3736.25,81
Finland,3294.7690000000002,82
Chile,3242.663,83
Switzerland,3125.643,84
Serbia,2936.9519999999998,85
Norway,2749.366,86
Portugal,2732.029,87
Azerbaijan,2596.787,88
Turkmenistan,2568.726,89
Israel,2557.42,90
Libya,2432.825,91
Qatar,2427.583,92
Ireland,2334.435,93
Singapore,2190.91,94
Peru,2062.04,95
New Zealand,1978.2450000000001,96
Syria,1969.842,97
Morocco,1946.005,98
Bangladesh,1922.086,99
Cuba,1787.434,100
Hong Kong,1721.507,101
Trinidad and Tobago,1674.551,102
Estonia,1660.874,103
Lithuania,1597.849,104
Oman,1579.031,105
Moldova,1353.893,106
Ecuador,1340.633,107
Croatia,1165.425,108
Bahrain,1067.927,109
Bosnia and Herzegovina,1024.613,110
Tunisia,1021.509,111
Latvia,973.703,112
Slovenia,896.222,113
Kyrgyzstan,868.752,114
Dominican Republic,842.597,115
Mongolia,823.008,116
Zimbabwe,815.087,117
Lebanon,787.368,118
Luxembourg,776.014,119
Jordan,758.351,120
Angola,715.341,121
Yemen,695.831,122
Georgia,694.838,123
Myanmar,692.938,124
Bolivia,609.296,125
Sri Lanka,559.766,126
Kenya,550.027,127
North Macedonia,532.497,128
Curacao,531.226,129
Sudan,508.218,130
Guatemala,500.589,131
Tajikistan,500.576,132
Kuwaiti Oil Fires (GCP),477.925,133
Jamaica,475.94,134
Uruguay,468.972,135
Brunei,414.238,136
Ghana,404.576,137
Armenia,398.826,138
Cote d'Ivoire,383.565,139
Panama,354.667,140
Tanzania,322.494,141
Cyprus,314.878,142
Ethiopia,306.172,143
Gabon,305.882,144
Albania,304.173,145
Cameroon,299.981,146
Honduras,292.962,147
Senegal,284.178,148
Costa Rica,277.661,149
Zambia,273.928,150
